ID,NumMat,Nome,Descr
1,1001,Bola,Bola de futebol profissional tamanho 5 padrão FIFA
2,1002,Chuteira,Chuteira de futebol campo com travas FG
3,1003,Caneleira,Caneleira de proteção com ajuste elástico
4,1004,Camisa,Camisa oficial de futebol tecido dry-fit
5,1005,Short,Calção esportivo leve para futebol
6,1006,Meias,Meião de futebol cano alto com compressão
7,1007,Luva,Luva de goleiro com palma em látex antiderrapante
8,1008,Rede,Rede de gol nylon reforçado padrão oficial
9,1009,Apito,Apito de arbitragem com som de alta intensidade
10,1010,Cones de Treino,Kit de cones para treino funcional e dribles
